pwsid,name,type,population,owner_type,primary_source,address,lat,lng,total_violations,health_violations,unaddressed_violations,risk_level,marker_color
GA0210075,TIMBER RIDGE SUBDIVISION,CWS,381,P,GW,"GRAY, Bibb County, GA",32.8407,-83.6324,14,0,0,Low,yellow
GA0210078,RUTLAND STATION,CWS,103,P,GW,"GRAY, Bibb County, GA",32.8407,-83.6324,13,0,0,Low,yellow
GA0230000,COCHRAN,CWS,8114,L,GW,"COCHRAN, Bleckley County, GA",33.0093907669929,-82.91665951770625,22,0,0,Low,yellow
GA0230003,MIDDLE GEORGIA STATE UNIVERSITY,CWS,1500,S,GW,"COCHRAN, Bleckley County, GA",32.8407,-83.6324,26,3,0,High,red
GA0230028,HILLSIDE BLUEGRASS RV PARK,TNCWS,40,P,GW,"COCHRAN, Bleckley County, GA",33.60479778255413,-83.23616646615635,12,9,0,High,red
GA0250000,HOBOKEN,CWS,528,L,GW,"HOBOKEN, Brantley County, GA",33.161381335430605,-84.34600631932078,20,0,0,Low,yellow
GA0250002,NAHUNTA,CWS,1315,L,GW,"NAHUNTA, Brantley County, GA",31.777203622887548,-82.09165610906743,276,0,0,Low,yellow
GA0250003,SATILLA ESTATES,CWS,234,P,GW,"MIDWAY, Brantley County, GA",32.63972296176599,-82.67991375370762,26,0,0,Low,yellow
GA0250004,DEERWOOD SUBDIVISION,CWS,99,P,GW,"SAVANNAH, Brantley County, GA",32.0835,-81.0998,5,4,0,High,red
GA0250006,WHISPERING PINES SUBDIVISION,CWS,187,P,GW,"SAVANNAH, Brantley County, GA",32.0835,-81.0998,7,0,0,Low,yellow
GA0250014,BRANTLEY COUNTY HIGH SCHOOL,NTNCWS,970,L,GW,"NAHUNTA, Brantley County, GA",33.2405683512139,-84.30718931047144,7,0,0,Low,yellow
GA0250019,BRANTLEY CO MIDDLE SCHOOL,NTNCWS,570,L,GW,"NAHUNTA, Brantley County, GA",31.86372874207468,-82.34137050981131,48,0,0,Low,yellow
GA0250020,HAPPY LANDING FISHING CLUB,CWS,157,P,GW,"SAVANNAH, Brantley County, GA",32.0835,-81.0998,0,0,0,Good,green
GA0250021,RIVER RIDGE SUBDIVISION,CWS,107,P,GW,"SAVANNAH, Brantley County, GA",32.0835,-81.0998,0,0,0,Good,green
GA0250022,WAYNESVILLE AREA ELEM.SCHOOL,NTNCWS,505,L,GW,"WAYNESVILLE, Brantley County, GA",32.40422638415233,-83.99900807674474,17,0,0,Low,yellow
GA0250023,KIDZ KOUNTRY DAY CARE,NTNCWS,180,P,GW,"WAYNESVILLE, Brantley County, GA",32.99540000550945,-82.89893600245297,13,0,0,Low,yellow
GA0250026,SATILLA PLANTATION/EAGLE CREST,NTNCWS,286,P,GW,"SAVANNAH, Brantley County, GA",32.0835,-81.0998,4,0,0,Low,yellow
GA0250027,SATILLA WATER SYSTEM,TNCWS,100,P,GW,"NAHUNTA, Brantley County, GA",31.72524112910327,-83.16605848733414,0,0,0,Good,green
GA0250028,HAWKS LANDING,CWS,119,P,GW,"SAVANNAH, Brantley County, GA",32.0835,-81.0998,7,0,0,Low,yellow
GA0270000,BARWICK,CWS,626,L,GW,"BARWICK, Brooks County, GA",31.810753000904086,-83.96003524910897,41,2,0,High,red
GA0270001,MORVEN,CWS,680,L,GW,"MORVEN, Brooks County, GA",31.88293525419682,-83.1182521441602,28,1,0,High,red
GA0270002,QUITMAN,CWS,5612,L,GW,"QUITMAN, Brooks County, GA",32.91190241038427,-82.66157704950366,94,22,0,High,red
GA0270006,SHADY ACRES SUBDIVISION,CWS,451,P,GW,"SAVANNAH, Brooks County, GA",32.0835,-81.0998,10,0,0,Low,yellow
GA0270007,DEER CREEK MOBILE HOME PARK,CWS,195,P,GW,"QUITMAN, Brooks County, GA",32.95258475995528,-83.3227602265182,71,24,1,High,red
GA0270009,JAMAR SUBDIVISION,CWS,111,P,GW,"SAVANNAH, Brooks County, GA",32.0835,-81.0998,12,0,0,Low,yellow
GA0270011,FAWN HEIGHTS SUBDIVISION,CWS,91,P,GW,"LAKE PARK, Brooks County, GA",31.847260688710715,-82.06349377022046,21,0,0,Low,yellow
GA0270027,BROOKSIDE PRIME PROPERTIES-FHB,CWS,158,P,GW,"VALDOSTA, Brooks County, GA",30.8327,-83.2785,52,3,0,High,red
GA0270028,"LANGBOARD, INC. OSB DIVISION",NTNCWS,130,P,GW,"QUITMAN, Brooks County, GA",32.0263185114993,-82.17095850455787,82,0,0,Low,yellow
GA0270029,GREEN MEADOWS #2/QUAIL RUN,CWS,367,P,GW,"VALDOSTA, Brooks County, GA",30.8327,-83.2785,35,0,0,Low,yellow
GA0270036,OAK RIDGE VILLAGE,CWS,121,P,GW,"LAKE PARK, Brooks County, GA",32.93019028375362,-84.64316803067148,113,0,2,Medium,orange
GA0270038,REDWOOD LAKE,CWS,54,P,GW,"QUITMAN, Brooks County, GA",32.62974488078098,-82.64330803867514,24,0,0,Low,yellow
GA0270039,PEACHTREE ACRES SUBDIVISION PHASE IV,CWS,108,P,GW,"SAVANNAH, Brooks County, GA",32.0835,-81.0998,12,0,0,Low,yellow
GA0290000,RICHMOND HILL,CWS,16068,L,GW,"RICHMOND HILL, Bryan County, GA",33.578556265893184,-83.4961607633542,54,6,2,High,red
GA0290001,PEMBROKE WATER SYSTEM,CWS,2574,L,GW,"PEMBROKE, Bryan County, GA",32.244958363055964,-84.6254135088259,35,0,1,Medium,orange
GA0290002,BLACK CREEK SCHOOL,NTNCWS,58,L,GW,"PEMBROKE, Bryan County, GA",33.376266041460774,-84.93137519636743,24,0,0,Low,yellow
GA0290003,DNR-FT MCALLISTER HIST PK CAMP,TNCWS,115,S,GW,"STOCKBRIDGE, Bryan County, GA",32.21145868115025,-82.12752276353035,14,2,0,High,red
GA0290004,BLACK CREEK FARMS SUBDIVISION,CWS,320,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,19,0,0,Low,yellow
GA0290005,BRYAN ACRES SUBDIVISION,CWS,211,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,14,0,0,Low,yellow
GA0290006,BRYAN WOODS ESTATES,CWS,187,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,24,0,0,Low,yellow
GA0290008,CAPE HARDWICKE/FT. MCALLISTER/KINSALE/RE,CWS,798,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,20,0,0,Low,yellow
GA0290009,LAKE LORRAINE SUBDIVISION,CWS,232,P,GW,"ELLABELL, Bryan County, GA",31.758755080360082,-84.11431582852326,23,0,0,Low,yellow
GA0290010,LINCOLN RIVER ESTATES,CWS,101,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,24,0,0,Low,yellow
GA0290011,STRATHY HALL SUBDIVISION,CWS,1118,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,21,0,0,Low,yellow
GA0290013,BLACK CREEK FARMS WEST,CWS,291,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,19,0,0,Low,yellow
GA0290014,BAR D RANCH SUBDIVISION,CWS,57,P,GW,"NEWINGTON, Bryan County, GA",32.22745797821707,-84.65021646327483,26,0,3,Medium,orange
GA0290015,BRIARWOOD SUBDIVISION,CWS,49,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,15,0,0,Low,yellow
GA0290017,LANIER ELEMENTARY SCHOOL,NTNCWS,468,L,GW,"PEMBROKE, Bryan County, GA",31.73415183530203,-82.49191027793306,22,0,0,Low,yellow
GA0290018,DNR-FT MCALLISTER HIST PK PICN,TNCWS,40,S,GW,"STOCKBRIDGE, Bryan County, GA",33.21315256708474,-82.37460723676473,15,0,0,Low,yellow
GA0290020,DANIEL PINES,CWS,148,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,30,2,0,High,red
GA0290021,THE COVE SUBDIVISION,CWS,270,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,41,12,0,High,red
GA0290022,HOLLY HILL SUBDIVISION,CWS,140,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,290,0,0,Low,yellow
GA0290023,BRYAN WOODS ESTATES PHASE III,CWS,123,P,GW,"STATESBORO, Bryan County, GA",33.41826902773894,-84.17490931126855,55,1,1,High,red
GA0290024,THE BLUFF-BELLE ISLAND HOA,CWS,268,P,GW,"RICHMOND HILL, Bryan County, GA",32.21558974853259,-83.60522515441956,126,0,1,Medium,orange
GA0290025,TIVOLI MARSH WATER SYSTEM,CWS,146,P,GW,"RICHMOND HILL, Bryan County, GA",32.8120356333778,-82.09572408448025,48,7,0,High,red
GA0290029,GARDNER ESTATES,CWS,174,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,24,2,1,High,red
GA0290031,KENS MOBILE HOME PARK,CWS,28,P,GW,"RINCON, Bryan County, GA",33.624425738874145,-82.61799296212673,55,18,0,High,red
GA0290036,RICHMOND HILL MHP,CWS,58,P,GW,"BISHOP, Bryan County, GA",31.692476655460258,-82.92408286783639,21,5,0,High,red
GA0290044,K.O.A.,TNCWS,260,P,GW,"RICHMOND HILL, Bryan County, GA",32.75200263558818,-83.35975482900643,7,2,0,High,red
GA0290061,USA-FORT STEWART TAC-X,NTNCWS,300,F,GW,"FORT STEWART, Bryan County, GA",32.89438367520735,-84.48369069110481,6,0,0,Low,yellow
GA0290064,BAILEY PLANTATION SUBDIVISION,CWS,355,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,20,0,0,Low,yellow
GA0290067,QUAIL HAMLET SUBDIVISION,CWS,55,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,50,0,0,Low,yellow
GA0290069,BELFAST RIVER LANDING - JERICO S/D,CWS,135,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,33,0,0,Low,yellow
GA0290070,OAK POINTE SUBDIVISION,CWS,198,P,GW,"STATESBORO, Bryan County, GA",32.747070717655994,-83.89727248138625,34,2,1,High,red
GA0290071,CRANSTON BLUFF-WATERFORD LANDING,CWS,975,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,406,0,0,Low,yellow
GA0290072,ANDERSON S/D,CWS,26,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,8,0,0,Low,yellow
GA0290076,OXFORD UTILITY COMPANY,CWS,315,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,11,0,0,Low,yellow
GA0290078,BUCKLAND HALL PLANTATION,CWS,65,P,GW,"GARDEN CITY, Bryan County, GA",33.62564491215711,-82.1288921733508,41,3,0,High,red
GA0290079,WELLINGTON OAKS SUBDIVISION,CWS,138,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,5,0,0,Low,yellow
GA0290080,SOUTH ATLANTIC UTILITIES-BRYAN COUNTY(S),CWS,3422,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,18,0,0,Low,yellow
GA0290083,HOPE CREEK PLANTATION,CWS,104,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,21,0,0,Low,yellow
GA0290087,SEASCAPE SUBDIVISION,CWS,39,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,8,0,0,Low,yellow
GA0290089,DIP TRADING CORPORATION AND DIP TWO,TNCWS,250,P,GW,"POOLER, Bryan County, GA",32.972709069773366,-83.91790398059739,0,0,0,Good,green
GA0290090,DEMERIES LAKE SUBDIVISION,CWS,52,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,5,0,0,Low,yellow
GA0290091,BRYAN COUNTY - INTERSTATE CENTRE,NTNCWS,35,L,GW,"PEMBROKE, Bryan County, GA",32.219832422735344,-83.58094231074928,2,0,0,Low,yellow
GA0290092,VICTORIA PLACE SUBDIVISION,CWS,200,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,3,0,0,Low,yellow
GA0290093,MAGNOLIA CREEK PLANTATION/TAYOR PLACE,CWS,455,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,5,0,0,Low,yellow
GA0290094,LAUREL GROVE,CWS,122,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,8,0,0,Low,yellow
GA0290095,KINGS FERRY RV RESORT,TNCWS,109,P,GW,"ELLABELLE, Bryan County, GA",32.84896902492961,-83.48594548169184,12,0,0,Low,yellow
GA0290096,DUNHAM MARSH,CWS,429,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,9,0,0,Low,yellow
GA0290097,THE SANCTUARY SUBDIVISION,CWS,81,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,4,0,0,Low,yellow
GA0290098,BLACK CREEK GOLF-BREWTON ACRES,CWS,541,P,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,10,0,0,Low,yellow
GA0290099,HAYDEN LAKES SUBDIVISION,CWS,270,L,GW,"SAVANNAH, Bryan County, GA",32.0835,-81.0998,9,0,1,Medium,orange
GA0290102,BRYAN COUNTY WATER SYSTEM,CWS,1111,L,GW,"PEMBROKE, Bryan County, GA",32.434477917062466,-84.29246238211186,5,0,2,Medium,orange
GA0290103,SOUTH BRYAN COUNTY,NTNCWS,1400,L,GW,"PEMBROKE, Bryan County, GA",32.50116445486147,-84.39143647418308,17,0,0,Low,yellow
GA0290104,HENDERSON PARK,CWS,2160,L,GW,"PEMBROKE, Bryan County, GA",33.548825051666235,-84.87104812377949,5,0,3,Medium,orange
GA0290105,OAK LEVEL WATER SYSTEM,CWS,540,L,GW,"RICHMOND HILL, Bryan County, GA",33.20702774792392,-84.23251961380076,4,0,2,Medium,orange
GA0310000,BROOKLET WATER SYSTEM,CWS,1456,L,GW,"BROOKLET, Bulloch County, GA",32.87830665308958,-83.4195549612662,18,0,0,Low,yellow
GA0310001,NEVILS WATER ASSOCIATION,CWS,146,P,GW,"PEMBROKE, Bulloch County, GA",32.90653907140838,-84.81803677610381,10,0,0,Low,yellow
GA0310002,PORTAL WATER SYSTEM,CWS,879,L,GW,"PORTAL, Bulloch County, GA",32.6233317999569,-82.2255288271082,55,3,4,High,red
GA0310003,REGISTER WATER SYSTEM,CWS,182,L,GW,"REGISTER, Bulloch County, GA",33.141477937973185,-82.93285384354452,106,0,2,Medium,orange
GA0310004,STATESBORO,CWS,36846,L,GW,"STATESBORO, Bulloch County, GA",33.51579314211199,-83.17857229323175,21,3,2,High,red
GA0310006,GEORGIA SOUTHERN UNIVERSITY,CWS,20357,S,GW,"STATESBORO, Bulloch County, GA",32.0835,-81.0998,7,0,0,Low,yellow
GA0310010,STILSON ELEMENTARY SCHOOL,NTNCWS,265,L,GW,"STATESBORO, Bulloch County, GA",31.69148363471631,-84.78838384803566,18,0,1,Medium,orange
GA0310013,"LEEFIELD WATER ASSOC., INC.",CWS,84,P,GW,"BROOKLET, Bulloch County, GA",32.72242747705544,-83.02679947491269,23,0,0,Low,yellow
GA0310014,LMB ENTERPRISES,CWS,49,P,GW,"STATESBORO, Bulloch County, GA",32.80944674478011,-83.09885918031392,1027,19,4,High,red
GA0310015,FOREST HEIGHTS SUBDIVISION,CWS,835,P,GW,"STATESBORO, Bulloch County, GA",33.262741882266084,-82.55519150253667,34,0,0,Low,yellow
GA0310016,GROVE LAKES SUBDIVISION,CWS,855,P,GW,"SAVANNAH, Bulloch County, GA",32.0835,-81.0998,18,2,0,High,red
GA0310019,PARKWOOD MOTEL & RESTAURANT,TNCWS,50,P,GW,"STATESBORO, Bulloch County, GA",33.160560516843184,-82.26329512920972,15,2,0,High,red
GA0310025,THE BARN MOBILE HOME PARK,CWS,232,P,GW,"STATESBORO, Bulloch County, GA",33.63691710439325,-83.61816824723788,57,2,5,High,red
GA0310028,LAKE COLLINS ESTATES,CWS,120,P,GW,"STATESBORO, Bulloch County, GA",32.504454715348665,-83.4595481203839,21,0,0,Low,yellow
GA0310033,TANKERSLEY-WINFIELD,CWS,151,P,GW,"SAVANNAH, Bulloch County, GA",32.0835,-81.0998,21,2,0,High,red
GA0310036,COUNTRY CLUB HILLS/PINE FOREST,CWS,250,P,GW,"SAVANNAH, Bulloch County, GA",32.0835,-81.0998,29,0,0,Low,yellow
GA0310037,FOREST HILLS SUBDIVISION,CWS,215,P,GW,"SAVANNAH, Bulloch County, GA",32.0835,-81.0998,33,2,0,High,red
GA0310038,COUNTRY LAKES ESTATES MHP,CWS,229,P,GW,"STATESBORO, Bulloch County, GA",33.24019878241797,-82.37991181065269,21,2,0,High,red
GA0310041,NEW HOPE SUBDIVISION,CWS,78,P,GW,"REGISTER, Bulloch County, GA",33.404868427893064,-83.86100623540733,114,6,0,High,red
GA0310052,COACH HOUSE ESTATES MHP,CWS,200,P,GW,"STATESBORO, Bulloch County, GA",33.4354077112812,-83.20592181017604,29,2,0,High,red
GA0310053,COLONIAL HEIGHTS SUBDIVISION,CWS,117,P,GW,"STATESBORO, Bulloch County, GA",32.918682396588395,-83.56670448850151,32,2,0,High,red
GA0310055,CYPRESS LAKE MOBILE HOME PARK,CWS,94,P,GW,"STATESBORO, Bulloch County, GA",32.293716071890636,-82.91430284260825,18,3,0,High,red
GA0310060,MILL CREEK ESTATES,CWS,29,P,GW,"STATESBORO, Bulloch County, GA",33.749,-84.388,57,3,0,High,red
GA0310061,LAKESIDE ESTATES,CWS,124,P,GW,"STATESBORO, Bulloch County, GA",31.72285693693414,-84.66884344187291,49,4,3,High,red
GA0310062,NEWTONS MOBILE HOME VILLAGE,CWS,36,P,GW,"ATLANTA, Bulloch County, GA",33.749,-84.388,99,10,0,High,red
GA0310071,WESTCHESTER SUBDIVISION,CWS,172,P,GW,"SAVANNAH, Bulloch County, GA",32.0835,-81.0998,16,0,0,Low,yellow
GA0310073,OGEECHEE RIVERVIEW POA,TNCWS,39,P,GW,"BROOKLET, Bulloch County, GA",31.975512921144322,-84.6067312659351,30,9,0,High,red
GA0310109,THE LOXCREEN COMPANY INC.,NTNCWS,50,P,GW,"BROOKLET, Bulloch County, GA",32.01880040129008,-82.28052538738645,105,3,0,High,red
GA0310111,BULLOCH CO. SCHOOL BUS GARAGE,TNCWS,225,L,GW,"STATESBORO, Bulloch County, GA",33.13613156018459,-81.98578484779625,16,0,0,Low,yellow
GA0310156,WILLIAM JAMES MIDDLE SCHOOL,NTNCWS,300,L,GW,"STATESBORO, Bulloch County, GA",31.943839032788038,-83.13148608665574,13,0,1,Medium,orange
GA0310165,GEORGIAN WALK SUBDIVISION,CWS,372,P,GW,"STATESBORO, Bulloch County, GA",33.036589795148465,-84.22597433948597,51,7,1,High,red
GA0310166,ELDORA FARMS SUBDIVISION,CWS,302,P,GW,"SAVANNAH, Bulloch County, GA",32.0835,-81.0998,9,0,0,Low,yellow
